Train Losses,Validation Losses,Train Accuracies,Validation Accuracies
0.6022847836907483,0.3205600355047053,0.6977700261617042,0.8673978065802592
0.3044679111626936,0.28107033481269866,0.8684440014949545,0.8773678963110668
0.23687680699399954,0.2677696195253703,0.9005855238569827,0.8803589232303091
0.197645899110258,0.26460913697244637,0.9176529213903077,0.8823529411764706
0.15832961355413167,0.2855321885878638,0.9357169552759437,0.8893320039880359
0.12577784314178003,0.320170145686103,0.9524106141771521,0.86839481555334
0.09326066419443248,0.3288445016322797,0.9647439890370001,0.8853439680957128
0.05893192590545328,0.43496799063409197,0.9805655911299365,0.8753738783649053
0.03883465047254165,0.49373884970026977,0.9871683069639965,0.8763708873379861
0.028824111609867625,0.6007379333851701,0.9900336364768905,0.8713858424725822
